名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,仮番号
ホープマスク,1,0,0,0,0,2,,1,0,1,0,0,気絶耐性,1,,,,,,,,,,,,,,,,,,,,,10
レザーヘッド,1,0,0,0,0,2,,2,0,0,0,0,植生学,1,,,,,,,,,,,,,,,,,,,,,20
チェーンヘッド,1,0,0,0,0,2,,0,2,0,0,0,地質学,1,,,,,,,,,,,,,,,,,,,,,30
ボーンヘルム,1,0,0,0,0,4,,2,0,2,0,2,ランナー,1,,,,,,,,,,,,,,,,,,,,,40
ブラチカグラス,1,0,0,0,0,4,,-4,1,1,-2,4,甲虫の知らせ,1,昆虫標本の達人,1,,,,,,,,,,,,,,,,,,,50
チャタヘルム,1,0,0,0,0,6,,1,2,-3,-1,1,革細工の柔性,1,早食い,1,,,,,,,,,,,,,,,,,,,70
トリスヘルム,1,0,0,0,0,6,,2,-3,0,-1,0,鱗張りの技法,1,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,80
アロイヘルム,1,0,0,0,0,6,,-2,1,-2,-2,1,納刀術,1,,,,,,,,,,,,,,,,,,,,,90
ランゴヘルム,1,0,0,0,0,4,,-2,1,1,1,2,甲虫の知らせ,1,環境利用の知識,1,,,,,,,,,,,,,,,,,,,110
ラバラヘルム,1,0,0,0,0,8,,-3,3,0,0,3,甲虫の知らせ,1,麻痺耐性,1,,,,,,,,,,,,,,,,,,,120
コンガヘルム,2,0,0,0,0,8,,-3,1,1,-1,2,毛皮の昂揚,1,キノコ大好き,1,,,,,,,,,,,,,,,,,,,130
バーラヘルム,2,0,0,0,0,12,,-1,2,-3,1,1,鱗張りの技法,1,腹減り耐性,1,,,,,,,,,,,,,,,,,,,140
ドシャグマヘルム,2,0,0,0,0,16,,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,満足感,1,,,,,,,,,,,,,,,,,150
インゴットヘルム,3,0,0,0,0,16,,-2,0,3,-1,0,精霊の加護,1,,,,,,,,,,,,,,,,,,,,,160
プポルヘルム,3,0,0,0,0,18,,0,-3,0,0,1,革細工の柔性,1,広域化,1,,,,,,,,,,,,,,,,,,,180
ネラチカアクセサリ,3,0,0,0,0,16,,-5,0,0,3,3,甲虫の知らせ,1,睡眠耐性,1,,,,,,,,,,,,,,,,,,,190
スキュラヘルム,3,0,0,0,0,20,,-2,2,-2,1,2,甲虫の知らせ,1,急襲,1,,,,,,,,,,,,,,,,,,,200
