スキル系統,発動スキル,必要ポイント,カテゴリ,効果
匠,,5,武器スキル,
業物,,3,武器スキル,
剛刃研磨,,3,武器スキル,
心眼,,3,武器スキル,
鈍器使い,,3,武器スキル,
砥石使用高速化,,2,武器スキル,
見切り,,5,武器スキル,
達人芸,,1,武器スキル,
会心撃【特殊】,,3,武器スキル,
超会心,,5,武器スキル,
会心撃【属性】,,3,武器スキル,
集中,,3,武器スキル,
チャージマスター,,3,武器スキル,
抜刀術【技】,,3,武器スキル,
抜刀術【力】,,3,武器スキル,
攻めの守勢,,3,武器スキル,
攻撃,,5,武器スキル,
ＫＯ術,,3,武器スキル,
スタミナ奪取,,3,武器スキル,
溜打強化,,1,武器スキル,
強化持続,,3,武器スキル,
笛吹き名人,,2,武器スキル,
ガード性能,,3,武器スキル,
ガード強化,,3,武器スキル,
飛燕,,1,武器スキル,
砲弾装填,,2,武器スキル,
砲術,,3,武器スキル,
高速変形,,3,武器スキル,
火属性攻撃強化,,3,武器スキル,
水属性攻撃強化,,3,武器スキル,
雷属性攻撃強化,,3,武器スキル,
氷属性攻撃強化,,3,武器スキル,
龍属性攻撃強化,,3,武器スキル,
毒属性強化,,3,武器スキル,
麻痺属性強化,,3,武器スキル,
睡眠属性強化,,3,武器スキル,
爆破属性強化,,3,武器スキル,
毒ダメージ強化,,1,武器スキル,
毒ビン追加,,1,武器スキル,
麻痺ビン追加,,1,武器スキル,
睡眠ビン追加,,1,武器スキル,
爆破ビン追加,,1,武器スキル,
減気ビン追加,,1,武器スキル,
弾導強化,,3,武器スキル,
ファーストショット,,3,武器スキル,
フォースショット,,3,武器スキル,
特殊射撃強化,,2,武器スキル,
通常弾・通常矢強化,,1,武器スキル,
貫通弾・竜の矢強化,,1,武器スキル,
散弾・剛射強化,,1,武器スキル,
速射強化,,1,武器スキル,
防御,,7,防具スキル,
精霊の加護,,3,防具スキル,
火耐性,,3,防具スキル,
水耐性,,3,防具スキル,
雷耐性,,3,防具スキル,
氷耐性,,3,防具スキル,
龍耐性,,3,防具スキル,
属性やられ耐性,,3,防具スキル,
気絶耐性,,3,防具スキル,
毒耐性,,3,防具スキル,
麻痺耐性,,3,防具スキル,
睡眠耐性,,3,防具スキル,
爆破やられ耐性,,3,防具スキル,
悪臭耐性,,2,防具スキル,
拘束耐性,,3,防具スキル,
裂傷耐性,,3,防具スキル,
腹減り耐性,,3,防具スキル,
防御力ＤＯＷＮ耐性,,3,防具スキル,
環境適応,,2,防具スキル,
水場・油泥適応,,2,防具スキル,
耐震,,3,防具スキル,
耳栓,,3,防具スキル,
風圧耐性,,3,防具スキル,
植生学,,4,防具スキル,
地質学,,3,防具スキル,
昆虫標本の達人,,1,防具スキル,
環境利用の知識,,3,防具スキル,
ハンター生活,,1,防具スキル,
早食い,,3,防具スキル,
体力回復量ＵＰ,,3,防具スキル,
回復速度,,3,防具スキル,
アイテム使用強化,,3,防具スキル,
ボマー,,3,防具スキル,
満足感,,3,防具スキル,
キノコ大好き,,3,防具スキル,
広域化,,5,防具スキル,
閃光強化,,1,防具スキル,
回避性能,,5,防具スキル,
回避距離ＵＰ,,3,防具スキル,
体術,,5,防具スキル,
ランナー,,3,防具スキル,
スタミナ急速回復,,3,防具スキル,
クライマー,,1,防具スキル,
納刀術,,3,防具スキル,
飛び込み,,1,防具スキル,
オトモへの采配,,5,防具スキル,
緩衝,,1,防具スキル,
ひるみ軽減,,3,防具スキル,
ジャンプ鉄人,,1,防具スキル,
威嚇,,3,防具スキル,
フルチャージ,,5,防具スキル,
逆恨み,,5,防具スキル,
力の解放,,5,防具スキル,
火事場力,,5,防具スキル,
弱点特効,,5,防具スキル,
連撃,,5,防具スキル,
整備,,5,防具スキル,
渾身,,3,防具スキル,
鎖刃刺撃,,5,防具スキル,
攻勢,,5,防具スキル,
挑戦者,,5,防具スキル,
逆襲,,3,防具スキル,
災禍転福,,3,防具スキル,
巧撃,,5,防具スキル,
破壊王,,3,防具スキル,
無我の境地,,3,防具スキル,
属性変換,,3,防具スキル,
属性吸収,,3,防具スキル,
急襲,,3,防具スキル,
研鑽,,1,防具スキル,
甲虫の知らせ,,3,グループスキル,
革細工の柔性,,3,グループスキル,
鱗張りの技法,,3,グループスキル,
毛皮の昂揚,,3,グループスキル,
ヌシの誇り,,3,グループスキル,
護竜の脈動,,3,グループスキル,
甲虫の擬態,,3,グループスキル,
革細工の滑性,,3,グループスキル,
鱗重ねの工夫,,3,グループスキル,
毛皮の誘惑,,3,グループスキル,
護竜の守り,,3,グループスキル,
ヌシの憤激,,3,グループスキル,
闢獣の力,,4,シリーズスキル,
波衣竜の守護,,4,シリーズスキル,
煌雷竜の力,,4,シリーズスキル,
獄焔蛸の反逆,,4,シリーズスキル,
火竜の力,,4,シリーズスキル,
兇爪竜の力,,4,シリーズスキル,
護鎖刃竜の命脈,,4,シリーズスキル,
雷顎竜の闘志,,4,シリーズスキル,
雪獅子の闘志,,4,シリーズスキル,
鎧竜の守護,,4,シリーズスキル,
暗器蛸の力,,4,シリーズスキル,
凍峰竜の反逆,,4,シリーズスキル,
黒蝕竜の力,,4,シリーズスキル,
鎖刃竜の飢餓,,4,シリーズスキル,
