スキル系統,発動スキル,必要ポイント,カテゴリ,効果,アーティア対応
武器スキル,,5,武器スキル(テスト),,
スロ1武器スキル,,7,武器スキル(スロット),,
スロ2武器スキル,,7,武器スキル(スロット),,
スロ3武器スキル,,7,武器スキル(スロット),,
スロ4武器スキル,,7,武器スキル(スロット),,
防具スキル,,6,防具スキル(テスト),,
つよ防具スキル全,,6,防具スキル(テスト),,
つよ防具スキル頭,,6,防具スキル(テスト),,
つよ防具スキル胴,,6,防具スキル(テスト),,
つよ防具スキル腕,,6,防具スキル(テスト),,
つよ防具スキル腰,,6,防具スキル(テスト),,
つよ防具スキル足,,6,防具スキル(テスト),,
スロ1防具スキル,,7,防具スキル(スロット),,
スロ2防具スキル,,7,防具スキル(スロット),,
スロ3防具スキル,,7,防具スキル(スロット),,
スロ4防具スキル,,7,防具スキル(スロット),,
スロ1両対応スキル,,7,両対応スキル(スロット),,
スロ2両対応スキル,,7,両対応スキル(スロット),,
スロ3両対応スキル,,7,両対応スキル(スロット),,
スロ4両対応スキル,,7,両対応スキル(スロット),,
スロ1不足スキル,,7,防具スキル(スロット),,
よわシリーズ,よわよわ,3,グループスキル,,1
つよシリーズ,つよつよ,3,グループスキル,,1
強欲シリーズ,激運,3,グループスキル,,
よわの力,よわⅠ,2,シリーズスキル,,1
よわの力,よわⅡ,4,シリーズスキル,,1
つよの力,つよⅠ,2,シリーズスキル,,1
つよの力,つよⅡ,4,シリーズスキル,,1
強欲の力,強欲Ⅰ,2,シリーズスキル,,
強欲の力,強欲Ⅱ,4,シリーズスキル,,
未実装スキル,,7,未実装スキル,,
